Stato,Abbreviazioni,Capitale,Popolazione,N° Omicidi
ILLINOIS,IL,SPRINGFIELD,12812508,744.0
PENNSYLVANIA,PA,HARRISBURG,13002700,658.0
GEORGIA,GA,ATLANTA,10711908,615.0
NEW YORK,NY,ALBANY,20201249,609.0
MICHIGAN,MI,LANSING,10077331,571.0
CAROLINA DEL NORD,,,10439388,517.0
MARYLAND,MD,ANNAPOLIS,6177224,516.0
MISSOURI,MO,JEFFERSON CITY,6154913,502.0
OHIO,OH,COLUMBUS,11799448,500.0
LOUISIANA,LA,BATON ROUGE,4657757,481.0
TENNESSEE,TN,NASHVILLE,6910840,406.0
CAROLINA DEL SUD,,,5118425,399.0
VIRGINIA,VA,RICHMOND,8631393,383.0
INDIANA,IN,INDIANAPOLIS,6785528,373.0
NEW JERSEY,,,9288994,363.0
ALABAMA,AL,MONTGOMERY,5024279,348.0
ARIZONA,AZ,PHOENIX,7151502,309.0
MISSISSIPPI,MS,JACKSON,2961279,259.0
WISCONSIN,WI,MADISON,5893718,240.0
OKLAHOMA,OK,OKLAHOMA CITY,3959353,234.0
WASHINGTON,WA,OLYMPIA,7705281,211.0
KENTUCKY,KY,FRANKFORT,4505836,209.0
ARKANSAS,AR,LITTLE ROCK,3011524,181.0
NEVADA,NV,CARSON CITY,3104614,178.0
COLORADO,CO,DENVER,5773714,176.0
MINNESOTA,MN,SAINT PAUL,5706494,133.0
KANSAS,KS,TOPEKA,2937880,128.0
MASSACHUSETTS,MA,BOSTON,7029917,128.0
NUOVO MESSICO,,,2117522,117.0
CONNECTICUT,CT,HARTFORD,3605944,117.0
OREGON,OR,SALEM,4237256,99.0
IOWA,IA,DES MOINES,3190369,72.0
VIRGINIA OCCIDENTALE,,,1793716,70.0
DELAWARE,DE,DOVER,989948,63.0
NEBRASKA,NE,LINCOLN,1961504,62.0
ALASKA,AK,JUNEAU,733391,59.0
UTAH,UT,SALT LAKE CITY,3271616,54.0
MONTANA,MT,HELENA,1084225,36.0
IDAHO,ID,BOISE,1839106,32.0
DAKOTA DEL SUD,,,886667,32.0
MAINE,ME,AUGUSTA,1362359,23.0
DAKOTA DEL NORD,,,779094,21.0
HAWAII,HI,HONOLULU,1455271,19.0
WYOMING,WY,CHEYENNE,576851,16.0
NEW HAMPSHIRE,NH,CONCORD,1377529,14.0
VERMONT,VT,MONTPELIER,643077,10.0
CALIFORNIA,CA,SACRAMENTO,39538223,2.0
TEXAS,TX,AUSTIN,29145505,1.0
FLORIDA,FL,TALLAHASSEE,21538187,1.0
DISTRETTO DI COLUMBIA,,,689545,
